h,t
-0.002273360428209413,-10.0
-0.0011423321832760326,-9.99
4.622647018461433e-6,-9.98
0.0011630861139278832,-9.97
0.002328549931428406,-9.96
0.0034964325629146917,-9.95
0.004662096771995728,-9.94
0.005820867572003894,-9.93
0.006968050506576617,-9.92
0.008098950191673393,-9.91
0.009208889047645738,-9.9
0.010293226148503434,-9.89
0.011347376114315966,-9.88
0.012366827971778401,-9.87
0.013347163907336321,-9.86
0.014284077836943182,-9.85
0.01517339371648116,-9.84
0.01601108351715894,-9.83
0.016793284790768248,-9.82
0.017516317750567525,-9.81
0.018176701794747823,-9.8
0.01877117140092475,-9.79
0.019296691321893666,-9.78
0.019750471014973695,-9.77
0.02012997823964219,-9.76
0.020432951760827617,-9.75
0.020657413098167716,-9.74
0.020801677264748457,-9.73
0.02086436244230418,-9.72
0.020844398543572645,-9.71
0.020741034616444123,-9.7
0.020553845048711415,-9.69
0.0202827345366001,-9.68
0.019927941784824127,-9.67
0.01949004191064844,-9.66
0.018969947529339615,-9.65
0.018368908503417925,-9.64
0.017688510343284232,-9.63
0.016930671252050836,-9.62
0.016097637812746007,-9.61
0.015191979321460998,-9.6
0.014216580775452235,-9.59
0.013174634530666928,-9.58
0.01206963064861738,-9.57
0.010905345957963724,-9.56
0.009685831861546972,-9.55
0.008415400924929794,-9.54
0.0070986122877346874,-9.53
0.005740255944171658,-9.52
0.004345335944141752,-9.51
0.002919052571112935,-9.5
0.0014667835576267444,-9.49
-5.935596263993455e-6,-9.48
-0.0014934321320800566,-9.47
-0.002989917295980651,-9.46
-0.004489508278517205,-9.45
-0.005986250750300303,-9.44
-0.00747414190962654,-9.43
-0.008947153955208348,-9.42
-0.010399257894596612,-9.41
-0.01182444759663457,-9.4
-0.013216763994393204,-9.39
-0.014570319343497009,-9.38
-0.01587932143956831,-9.37
-0.017138097697717167,-9.36
-0.018341118996581033,-9.35
-0.019483023189371822,-9.34
-0.02055863818474229,-9.33
-0.02156300450102206,-9.32
-0.02249139719850739,-9.31
-0.023339347096009933,-9.3
-0.024102661179789448,-9.29
-0.024777442115289205,-9.28
-0.025360106774780775,-9.27
-0.02584740369707175,-9.26
-0.026236429398857185,-9.25
-0.02652464346106562,-9.24
-0.02670988231767256,-9.23
-0.026790371678903694,-9.22
-0.02676473752551621,-9.21
-0.026632015615914526,-9.2
-0.026391659453206918,-9.19
-0.026043546664924824,-9.18
-0.02558798375398782,-9.17
-0.025025709185581953,-9.16
